market,submarket,channel block,licensee,contact,lower freq,upper freq,grant date,effective date,cancellation date,buildout deadline 1,buildout deadline 2,notification 1,notification 2,license link,app link,app type
"BEA049 
                  -                  
                    Cincinnati-Hamilton, OH-KY-IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2000.0,2010.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453654,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=15146017,"NT
          - Required Notification


          
          	(2)"
"BEA049 
                  -                  
                    Cincinnati-Hamilton, OH-KY-IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2180.0,2190.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453654,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=15146017,"NT
          - Required Notification


          
          	(2)"
"BEA049 
                  -                  
                    Cincinnati-Hamilton, OH-KY-IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2000.0,2010.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453654,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=14488069,"TC
          - Transfer of Control"
"BEA049 
                  -                  
                    Cincinnati-Hamilton, OH-KY-IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2180.0,2190.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453654,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=14488069,"TC
          - Transfer of Control"
"BEA049 
                  -                  
                    Cincinnati-Hamilton, OH-KY-IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2000.0,2010.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453654,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=14112231,"RO
          - Renewal Only"
"BEA049 
                  -                  
                    Cincinnati-Hamilton, OH-KY-IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2180.0,2190.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453654,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=14112231,"RO
          - Renewal Only"
"BEA049 
                  -                  
                    Cincinnati-Hamilton, OH-KY-IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2000.0,2010.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453654,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=11637343,"EX
          - Request for Extension of Time"
"BEA049 
                  -                  
                    Cincinnati-Hamilton, OH-KY-IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2180.0,2190.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453654,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=11637343,"EX
          - Request for Extension of Time"
"BEA049 
                  -                  
                    Cincinnati-Hamilton, OH-KY-IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2000.0,2010.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453654,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=10198496,"NT
          - Required Notification


          
          	(1)"
"BEA049 
                  -                  
                    Cincinnati-Hamilton, OH-KY-IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2180.0,2190.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453654,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=10198496,"NT
          - Required Notification


          
          	(1)"
